행정동코드,count_더벤티,count_매머드커피,count_메가커피,count_빽다방,count_컴포즈커피,total_workers,female_workers,당월_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,행정동_코드_명
1111051500,0.0,0.0,0.0,0.0,0.0,5623.0,3124.0,4562109055.0,1342240808.0,2854860415.0,13966284.0,1116673187.0,1288685456.0,737504880.0,561668089.0,478603322.0,청운효자동
1111051500,0.0,0.0,0.0,0.0,0.0,5623.0,3124.0,548138245.0,186259039.0,324037543.0,1812744.0,91892471.0,146712505.0,103323815.0,97484231.0,69070815.0,청운효자동
1111053000,0.0,2.0,4.0,3.0,1.0,56858.0,27260.0,11526147981.0,4031957597.0,6131273601.0,45838266.0,2364321308.0,3475726873.0,2118707189.0,1395068709.0,763568866.0,사직동
1111053000,0.0,2.0,4.0,3.0,1.0,56858.0,27260.0,1374320925.0,517488231.0,688899372.0,7494166.0,197074157.0,278326927.0,235713084.0,223230137.0,264549131.0,사직동
1111054000,0.0,0.0,0.0,0.0,0.0,,,6977136227.0,2654279416.0,3691230585.0,28788903.0,1197887592.0,1717919523.0,1368996177.0,1160225596.0,871692202.0,삼청동
1111054000,0.0,0.0,0.0,0.0,0.0,,,3446617808.0,876330697.0,2559834505.0,9560978.0,1006182584.0,1100375687.0,594655240.0,477536548.0,247854165.0,삼청동
1111055000,0.0,0.0,1.0,0.0,0.0,4068.0,2255.0,574377314.0,228418847.0,342664290.0,8605771.0,142350650.0,142602773.0,93706186.0,117092099.0,66725657.0,부암동
1111055000,0.0,0.0,1.0,0.0,0.0,4068.0,2255.0,309264082.0,99315810.0,188401051.0,822667.0,37889474.0,73827858.0,62121445.0,71693435.0,41361982.0,부암동
1111056000,0.0,0.0,2.0,1.0,0.0,4291.0,2325.0,137164599.0,61300030.0,61700357.0,261423.0,7093488.0,21428100.0,23469513.0,40044482.0,30703385.0,평창동
1111056000,0.0,0.0,2.0,1.0,0.0,4291.0,2325.0,355691007.0,154017424.0,183387109.0,4412246.0,22831338.0,49922068.0,85361132.0,80341184.0,94536565.0,평창동
1111057000,0.0,0.0,0.0,0.0,1.0,2238.0,1226.0,59568383.0,20286504.0,32979633.0,282566.0,5075257.0,10882331.0,9240373.0,17108500.0,10677115.0,무악동
1111057000,0.0,0.0,0.0,0.0,1.0,2238.0,1226.0,446525280.0,145906968.0,192218982.0,2648022.0,25785241.0,56384380.0,85660056.0,82150633.0,85497618.0,무악동
1111058000,0.0,1.0,0.0,1.0,1.0,7886.0,4133.0,173867192.0,76085001.0,81986830.0,41273.0,26983118.0,66733045.0,32807606.0,13732683.0,17774104.0,교남동
1111058000,0.0,1.0,0.0,1.0,1.0,7886.0,4133.0,138439801.0,57440662.0,69448356.0,82515.0,9913645.0,24409864.0,23859889.0,35220888.0,33402220.0,교남동
1111060000,0.0,1.0,0.0,0.0,1.0,8518.0,3357.0,3315253382.0,1131352485.0,1675154492.0,10597091.0,691764352.0,924542571.0,536584711.0,414189833.0,228828417.0,가회동
1111060000,0.0,1.0,0.0,0.0,1.0,8518.0,3357.0,1596946814.0,520564371.0,1030696626.0,14879807.0,473092623.0,440013574.0,295378364.0,233533328.0,94363301.0,가회동
1111061500,1.0,4.0,10.0,4.0,3.0,108640.0,47082.0,21213537420.0,8172102119.0,9384238720.0,70036142.0,3173151765.0,4871634942.0,3636378154.0,3201012144.0,2604127702.0,종로1.2.3.4가동
1111061500,1.0,4.0,10.0,4.0,3.0,108640.0,47082.0,3006497999.0,876140740.0,1397094807.0,7830112.0,383929199.0,729908335.0,517466493.0,399287784.0,234813621.0,종로1.2.3.4가동
1111063000,1.0,2.0,3.0,1.0,2.0,19891.0,7700.0,2401905722.0,926587523.0,916567007.0,7612202.0,288994854.0,526949900.0,379195011.0,332144291.0,308258260.0,종로5.6가동
1111063000,1.0,2.0,3.0,1.0,2.0,19891.0,7700.0,129036809.0,64763943.0,49862690.0,0.0,5444957.0,13573654.0,15790783.0,31259426.0,48557811.0,종로5.6가동
